"Air Quality Statistics by County, 2020",,,,,,,,,,,,
"Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and, for some pollutants, may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 5, 2021.",,,,,,,,,,,,
State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Alabama,Baldwin County,01003,182265,ND,ND,ND,ND,0.057,ND,7.9,17,ND
Alabama,Clay County,01027,13932,ND,ND,ND,ND,ND,ND,6.7,14,ND
Alabama,Colbert County,01033,54428,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,DeKalb County,01049,71109,ND,ND,ND,ND,0.057,ND,7.1,17,ND
Alabama,Elmore County,01051,79303,ND,ND,ND,ND,0.048,ND,ND,ND,ND
Alabama,Escambia County,01053,38319,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Etowah County,01055,104430,ND,ND,ND,ND,0.053,ND,7.9,23,ND
Alabama,Houston County,01069,101547,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Jefferson County,01073,658466,1,ND,11,44,0.062,83,10.1,25,12
Alabama,Madison County,01089,334811,ND,ND,ND,ND,0.057,37,7.1,17,ND
Alabama,Mobile County,01097,412992,ND,ND,ND,ND,0.054,ND,8,16,11
Alabama,Montgomery County,01101,229363,ND,ND,ND,ND,0.053,25,7.9,24,ND
Alabama,Morgan County,01103,119490,ND,ND,ND,ND,0.057,ND,7.1,16,ND
Alabama,Pike County,01109,32899,ND,0.17,ND,ND,ND,ND,ND,ND,ND
Alabama,Russell County,01113,52947,ND,ND,ND,ND,0.054,ND,8.5,19,ND
Alabama,Shelby County,01117,195085,ND,ND,ND,ND,0.059,ND,IN,IN,37
Alabama,Sumter County,01119,13763,ND,ND,ND,ND,0.051,ND,IN,IN,3
Alabama,Talladega County,01121,82291,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Tuscaloosa County,01125,194656,ND,ND,ND,ND,0.052,ND,7.5,17,ND
Alabama,Walker County,01127,67023,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alaska,Anchorage Municipality,02020,291826,3,ND,ND,ND,ND,77,5.9,22,ND
Alaska,Bethel Census Area,02050,17013,ND,ND,ND,ND,ND,48,ND,ND,ND
Alaska,Denali Borough,02068,1826,ND,ND,ND,ND,0.051,ND,IN,IN,ND
Alaska,Fairbanks North Star Borough,02090,97581,2,ND,ND,ND,0.043,43,12.1,71,30
Alaska,Juneau City and Borough,02110,31275,ND,ND,ND,ND,ND,34,4.8,17,ND
Alaska,Kenai Peninsula Borough,02122,55400,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alaska,Ketchikan Gateway Borough,02130,13477,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alaska,Matanuska-Susitna Borough,02170,88995,ND,ND,ND,ND,ND,77,4.6,24,ND
Alaska,Skagway Municipality,02232,968,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arizona,Apache County,04001,71518,ND,ND,ND,ND,ND,43,3.2,13,ND
Arizona,Cochise County,04003,131346,ND,ND,ND,ND,0.066,136,IN,IN,ND
Arizona,Coconino County,04005,134421,ND,ND,ND,ND,0.063,ND,IN,IN,ND
Arizona,Gila County,04007,53597,ND,0.03,ND,ND,0.081,74,IN,IN,70
Arizona,La Paz County,04012,20489,ND,ND,ND,ND,0.064,148,4.2,11,ND
