fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
48001,US,TX,Anderson County,county,,iso1:us#iso2:us-tx#fips:48001,,57735,0.0553,other,6.062180653,,0.574107322,0.704872908,0.249433106,,0.628571429,1,1,1,4,0,0,0,5166,127,,,,226,43,3,0.45,10,6,1,0.58,0,,17597,13665,5/31/21,https://covidactnow.org/us/texas-tx/county/anderson_county,0.304789123,0.236684853,0,29265
48003,US,TX,Andrews County,county,,iso1:us#iso2:us-tx#fips:48003,,18705,0.0741,other,1.527475465,,1.290633816,1.088859791,,,,2,1,1,4,2,4,4,1834,47,,,,34,18,0,0.18,1,,0,,0,,6103,5295,5/31/21,https://covidactnow.org/us/texas-tx/county/andrews_county,0.326276397,0.283079391,0,11192
48005,US,TX,Angelina County,county,,iso1:us#iso2:us-tx#fips:48005,,86715,0.0247,other,0,,0.538994089,0.778663143,0.187793427,,0.873684212,0,0,0,4,0,0,3,8613,283,,,,465,207,9,0.5,40,35,5,0.5,0,,27608,23383,5/31/21,https://covidactnow.org/us/texas-tx/county/angelina_county,0.31837629,0.269653462,0,49092
48007,US,TX,Aransas County,county,,iso1:us#iso2:us-tx#fips:48007,,23510,0.0274,other,3.038220818,,1.09976927,1.217809536,,,,1,0,1,4,1,4,4,1258,41,,,,,,1,,,,1,,0,,11469,9570,5/31/21,https://covidactnow.org/us/texas-tx/county/aransas_county,0.487834964,0.407060825,0,20346
48009,US,TX,Archer County,county,,iso1:us#iso2:us-tx#fips:48009,,8553,0.04,other,3.340515442,,0.990775853,1.170416154,,,,1,1,1,4,1,4,4,811,12,,,,,,0,,,,0,,0,,3148,2877,5/31/21,https://covidactnow.org/us/texas-tx/county/archer_county,0.368057991,0.336373202,0,5718
48011,US,TX,Armstrong County,county,,iso1:us#iso2:us-tx#fips:48011,,1887,,other,7.570595806,,,,,,,1,4,1,4,4,4,4,204,6,,,,,,0,,,,0,,0,,605,497,5/31/21,https://covidactnow.org/us/texas-tx/county/armstrong_county,0.320614732,0.263381028,0,1076
48013,US,TX,Atascosa County,county,,iso1:us#iso2:us-tx#fips:48013,,51153,0.0187,other,9.774597775,,0.974192584,0.692292158,0.338983051,,0.457627119,1,0,1,4,1,0,0,5293,150,,,,67,34,7,0.21,8,3,2,0.21,0,,17408,13878,5/31/21,https://covidactnow.org/us/texas-tx/county/atascosa_county,0.340312396,0.271303736,0,30106
48015,US,TX,Austin County,county,,iso1:us#iso2:us-tx#fips:48015,,30032,0.0435,other,6.104599538,,0.839773889,0.86629634,0.46113307,,,1,1,1,4,0,0,4,2192,37,,,,32,1,0,0.07,4,4,1,,0,,11001,9083,5/31/21,https://covidactnow.org/us/texas-tx/county/austin_county,0.36630927,0.30244406,0,18874
48017,US,TX,Bailey County,county,,iso1:us#iso2:us-tx#fips:48017,,7000,0.0769,other,22.44897959,,1.323291262,1.109995237,,,,2,1,2,4,2,4,4,839,19,,,,25,2,1,0.09,0,,0,,0,,2248,1948,5/31/21,https://covidactnow.org/us/texas-tx/county/bailey_county,0.321142857,0.278285714,0,3998
48019,US,TX,Bandera County,county,,iso1:us#iso2:us-tx#fips:48019,,23112,0.0227,other,1.236216189,,0.767669973,0.939142101,,,,1,0,1,4,0,4,4,1386,28,,,,,,1,,,,1,,0,,8007,6741,5/31/21,https://covidactnow.org/us/texas-tx/county/bandera_county,0.346443406,0.291666667,0,13875
48021,US,TX,Bastrop County,county,,iso1:us#iso2:us-tx#fips:48021,,88723,0.0319,other,8.533783316,,0.759093704,0.552660042,inf,,,1,1,1,4,0,4,4,9609,96,,,,8,6,4,0.19,0,,1,,0,,36906,26693,5/31/21,https://covidactnow.org/us/texas-tx/county/bastrop_county,0.415968802,0.300857726,0,61684
48023,US,TX,Baylor County,county,,iso1:us#iso2:us-tx#fips:48023,,3509,,other,0,,,,,,,0,4,0,4,4,4,4,299,13,,,,27,2,1,0.19,0,,0,,0,,1177,1091,5/31/21,https://covidactnow.org/us/texas-tx/county/baylor_county,0.335423197,0.310914791,0,2169
48025,US,TX,Bee County,county,,iso1:us#iso2:us-tx#fips:48025,,32565,0.0079,other,7.165156866,,0.867620266,0.863833756,,,0.460000001,1,0,1,4,0,4,0,3514,73,,,,69,14,0,0.35,7,3,0,0.27,0,,12194,10385,5/31/21,https://covidactnow.org/us/texas-tx/county/bee_county,0.374451098,0.31890066,0,22126
48027,US,TX,Bell County,county,,iso1:us#iso2:us-tx#fips:48027,,362924,0.0211,other,2.046866955,,0.629966764,0.618294485,0.196082954,,0.965996909,1,0,1,4,0,0,3,22634,434,,,,1191,724,31,0.64,92,89,12,0.54,0,,96954,77026,5/31/21,https://covidactnow.org/us/texas-tx/county/bell_county,0.267146841,0.212237273,0,166547
48029,US,TX,Bexar County,county,,iso1:us#iso2:us-tx#fips:48029,,2003554,0.0148,other,8.798650512,,0.924083621,0.105427279,0.27357935,,0.933126411,1,0,1,4,1,0,3,219257,3571,,,,10395,3733,163,0.65,506,472,63,0.75,138,,905143,724692,5/31/21,https://covidactnow.org/us/texas-tx/county/bexar_county,0.451768707,0.361703253,0,1583372
48031,US,TX,Blanco County,county,,iso1:us#iso2:us-tx#fips:48031,,11931,0.0989,other,10.77624915,,1.32081607,1.029171134,,,,2,1,2,4,2,4,4,750,20,,,,,,1,,,,0,,0,,5269,4569,5/31/21,https://covidactnow.org/us/texas-tx/county/blanco_county,0.441622664,0.382951974,0,9489
48033,US,TX,Borden County,county,,iso1:us#iso2:us-tx#fips:48033,,654,,other,0,,,,,,,0,4,0,4,4,4,4,30,2,,,,,,0,,,,0,,0,,158,138,5/31/21,https://covidactnow.org/us/texas-tx/county/borden_county,0.241590214,0.211009174,0,274
48035,US,TX,Bosque County,county,,iso1:us#iso2:us-tx#fips:48035,,18685,0.0083,other,3.05822088,,1.172021079,1.025654444,0,,,2,0,1,4,2,0,4,1688,34,,,,25,6,2,0.33,1,,0,,0,,6650,5716,5/31/21,https://covidactnow.org/us/texas-tx/county/bosque_county,0.355900455,0.305913835,0,11667
48037,US,TX,Bowie County,county,,iso1:us#iso2:us-tx#fips:48037,,93245,0.0333,other,3.370536911,,0.694261215,0.742486582,0.135903138,,0.666666667,1,1,1,4,0,0,0,7076,220,,,,883,350,13,0.51,60,40,7,0.26,3,,22685,18629,5/31/21,https://covidactnow.org/us/texas-tx/county/bowie_county,0.243283822,0.199785511,0,38682
